"Step","bench_unaware_B_s1 - energy","bench_unaware_B_s1 - energy__MIN","bench_unaware_B_s1 - energy__MAX","bench_unaware_A_s1 - energy","bench_unaware_A_s1 - energy__MIN","bench_unaware_A_s1 - energy__MAX","bench_unaware_A_s0 - energy","bench_unaware_A_s0 - energy__MIN","bench_unaware_A_s0 - energy__MAX","bench_aware_A_s2 - energy","bench_aware_A_s2 - energy__MIN","bench_aware_A_s2 - energy__MAX","bench_aware_A_s1 - energy","bench_aware_A_s1 - energy__MIN","bench_aware_A_s1 - energy__MAX","bench_aware_A_s0 - energy","bench_aware_A_s0 - energy__MIN","bench_aware_A_s0 - energy__MAX"
"158","-173.22761765012407","-173.22761765012407","-173.22761765012407","-173.57874202736048","-173.57874202736048","-173.57874202736048","-173.30661642277056","-173.30661642277056","-173.30661642277056","-174.50593239243406","-174.50593239243406","-174.50593239243406","-174.49128235020365","-174.49128235020365","-174.49128235020365","-174.4740693400865","-174.4740693400865","-174.4740693400865"
"159","-173.2495136093192","-173.2495136093192","-173.2495136093192","-173.57720521980795","-173.57720521980795","-173.57720521980795","-173.34665479971025","-173.34665479971025","-173.34665479971025","-174.51410889049333","-174.51410889049333","-174.51410889049333","-174.4892646218019","-174.4892646218019","-174.4892646218019","-174.48962068277856","-174.48962068277856","-174.48962068277856"
"160","-173.2099648985764","-173.2099648985764","-173.2099648985764","-173.5045310401152","-173.5045310401152","-173.5045310401152","-173.33102503390535","-173.33102503390535","-173.33102503390535","-174.50878734957587","-174.50878734957587","-174.50878734957587","-174.48381818410184","-174.48381818410184","-174.48381818410184","-174.51383700770492","-174.51383700770492","-174.51383700770492"
"161","-173.26831162920658","-173.26831162920658","-173.26831162920658","-173.53627996225939","-173.53627996225939","-173.53627996225939","-173.33910425425972","-173.33910425425972","-173.33910425425972","-174.5009399978236","-174.5009399978236","-174.5009399978236","-174.47291806094916","-174.47291806094916","-174.47291806094916","-174.48539579439512","-174.48539579439512","-174.48539579439512"
"162","-173.2292687366549","-173.2292687366549","-173.2292687366549","-173.52017300842616","-173.52017300842616","-173.52017300842616","-173.317818979589","-173.317818979589","-173.317818979589","-174.48380009710615","-174.48380009710615","-174.48380009710615","-174.48836256032837","-174.48836256032837","-174.48836256032837","-174.51724599283997","-174.51724599283997","-174.51724599283997"
"163","-173.21792783416714","-173.21792783416714","-173.21792783416714","-173.56830794606321","-173.56830794606321","-173.56830794606321","-173.3074184984716","-173.3074184984716","-173.3074184984716","-174.48981987800846","-174.48981987800846","-174.48981987800846","-174.49173708652737","-174.49173708652737","-174.49173708652737","-174.49730196371974","-174.49730196371974","-174.49730196371974"
"164","-173.17828115326395","-173.17828115326395","-173.17828115326395","-173.5915180058903","-173.5915180058903","-173.5915180058903","-173.31699539565022","-173.31699539565022","-173.31699539565022","-174.51648655651908","-174.51648655651908","-174.51648655651908","-174.49059900736177","-174.49059900736177","-174.49059900736177","-174.48985613123438","-174.48985613123438","-174.48985613123438"
"165","-173.29705354023858","-173.29705354023858","-173.29705354023858","-173.5482846973448","-173.5482846973448","-173.5482846973448","-173.31322543769647","-173.31322543769647","-173.31322543769647","-174.49605783006047","-174.49605783006047","-174.49605783006047","-174.4889417201423","-174.4889417201423","-174.4889417201423","-174.4934451084473","-174.4934451084473","-174.4934451084473"
"166","-173.37063967087738","-173.37063967087738","-173.37063967087738","-173.59064464624583","-173.59064464624583","-173.59064464624583","-173.29959103598975","-173.29959103598975","-173.29959103598975","-174.48016099289882","-174.48016099289882","-174.48016099289882","-174.49240561063982","-174.49240561063982","-174.49240561063982","-174.476149516673","-174.476149516673","-174.476149516673"
"167","-173.31046823126565","-173.31046823126565","-173.31046823126565","-173.61909070093128","-173.61909070093128","-173.61909070093128","-173.30713474497324","-173.30713474497324","-173.30713474497324","-174.52264254428582","-174.52264254428582","-174.52264254428582","-174.47467883560856","-174.47467883560856","-174.47467883560856","-174.47797737066247","-174.47797737066247","-174.47797737066247"
"168","-173.3966450379407","-173.3966450379407","-173.3966450379407","-173.63602107758385","-173.63602107758385","-173.63602107758385","-173.3565952244966","-173.3565952244966","-173.3565952244966","-174.49995625849232","-174.49995625849232","-174.49995625849232","-174.4816239519676","-174.4816239519676","-174.4816239519676","-174.48834832760042","-174.48834832760042","-174.48834832760042"
"169","-173.31314228294423","-173.31314228294423","-173.31314228294423","-173.52134622849906","-173.52134622849906","-173.52134622849906","-173.354298134183","-173.354298134183","-173.354298134183","-174.51274823515433","-174.51274823515433","-174.51274823515433","-174.4944917756829","-174.4944917756829","-174.4944917756829","-174.47251411099072","-174.47251411099072","-174.47251411099072"
"170","-173.3424785494082","-173.3424785494082","-173.3424785494082","-173.62210154188386","-173.62210154188386","-173.62210154188386","-173.29915292650722","-173.29915292650722","-173.29915292650722","-174.50820542381751","-174.50820542381751","-174.50820542381751","-174.4960717703259","-174.4960717703259","-174.4960717703259","-174.45417130041653","-174.45417130041653","-174.45417130041653"
"171","-173.34865460762904","-173.34865460762904","-173.34865460762904","-173.60368018745072","-173.60368018745072","-173.60368018745072","-173.27350982976247","-173.27350982976247","-173.27350982976247","-174.51361256292392","-174.51361256292392","-174.51361256292392","-174.484743730402","-174.484743730402","-174.484743730402","-174.45959605396376","-174.45959605396376","-174.45959605396376"
"172","-173.31332454841515","-173.31332454841515","-173.31332454841515","-173.6157396438034","-173.6157396438034","-173.6157396438034","-173.284898664936","-173.284898664936","-173.284898664936","-174.50073848182186","-174.50073848182186","-174.50073848182186","-174.50087702758077","-174.50087702758077","-174.50087702758077","-174.484997536855","-174.484997536855","-174.484997536855"
"173","-173.23409820650997","-173.23409820650997","-173.23409820650997","-173.5509777686862","-173.5509777686862","-173.5509777686862","-173.34038756594614","-173.34038756594614","-173.34038756594614","-174.51462018003593","-174.51462018003593","-174.51462018003593","-174.47901189351694","-174.47901189351694","-174.47901189351694","-174.49051670841186","-174.49051670841186","-174.49051670841186"
"174","-173.31637492117886","-173.31637492117886","-173.31637492117886","-173.6016775061351","-173.6016775061351","-173.6016775061351","-173.3601102300285","-173.3601102300285","-173.3601102300285","-174.4943501467647","-174.4943501467647","-174.4943501467647","-174.4953170932141","-174.4953170932141","-174.4953170932141","-174.46749375762832","-174.46749375762832","-174.46749375762832"
"175","-173.32109238493388","-173.32109238493388","-173.32109238493388","-173.63217571917244","-173.63217571917244","-173.63217571917244","-173.30166647136318","-173.30166647136318","-173.30166647136318","-174.49553693475343","-174.49553693475343","-174.49553693475343","-174.51578531230615","-174.51578531230615","-174.51578531230615","-174.4736924135466","-174.4736924135466","-174.4736924135466"
"176","-173.37295584289348","-173.37295584289348","-173.37295584289348","-173.62936898238064","-173.62936898238064","-173.62936898238064","-173.4004189877939","-173.4004189877939","-173.4004189877939","-174.51458254999102","-174.51458254999102","-174.51458254999102","-174.48475028297554","-174.48475028297554","-174.48475028297554","-174.47418770985237","-174.47418770985237","-174.47418770985237"
"177","-173.35489047177813","-173.35489047177813","-173.35489047177813","-173.57311149232385","-173.57311149232385","-173.57311149232385","-173.39129361500605","-173.39129361500605","-173.39129361500605","-174.50812957206625","-174.50812957206625","-174.50812957206625","-174.51435390148575","-174.51435390148575","-174.51435390148575","-174.47850510463806","-174.47850510463806","-174.47850510463806"
"178","-173.298791492191","-173.298791492191","-173.298791492191","-173.519089605342","-173.519089605342","-173.519089605342","-173.31252900704362","-173.31252900704362","-173.31252900704362","-174.49112221694162","-174.49112221694162","-174.49112221694162","-174.48385761267562","-174.48385761267562","-174.48385761267562","-174.48589456066355","-174.48589456066355","-174.48589456066355"
"179","-173.34793026159056","-173.34793026159056","-173.34793026159056","-173.61800846522908","-173.61800846522908","-173.61800846522908","-173.2713905638904","-173.2713905638904","-173.2713905638904","-174.50648020996846","-174.50648020996846","-174.50648020996846","-174.47743703344747","-174.47743703344747","-174.47743703344747","-174.46655150775211","-174.46655150775211","-174.46655150775211"
"180","-173.3654346857057","-173.3654346857057","-173.3654346857057","-173.56510436419296","-173.56510436419296","-173.56510436419296","-173.3760660494762","-173.3760660494762","-173.3760660494762","-174.5070866898241","-174.5070866898241","-174.5070866898241","-174.49874475626854","-174.49874475626854","-174.49874475626854","-174.46758622797668","-174.46758622797668","-174.46758622797668"
"181","-173.43507285375102","-173.43507285375102","-173.43507285375102","-173.6293666459691","-173.6293666459691","-173.6293666459691","-173.27031786084981","-173.27031786084981","-173.27031786084981","-174.4789073732424","-174.4789073732424","-174.4789073732424","-174.49784296230848","-174.49784296230848","-174.49784296230848","-174.46904240703466","-174.46904240703466","-174.46904240703466"
"182","-173.3629146496575","-173.3629146496575","-173.3629146496575","-173.63431468395373","-173.63431468395373","-173.63431468395373","-173.34648035594364","-173.34648035594364","-173.34648035594364","-174.49650799036826","-174.49650799036826","-174.49650799036826","-174.50123241025437","-174.50123241025437","-174.50123241025437","-174.4935856857374","-174.4935856857374","-174.4935856857374"
"183","-173.3833326871811","-173.3833326871811","-173.3833326871811","-173.59131345684926","-173.59131345684926","-173.59131345684926","-173.34710943343504","-173.34710943343504","-173.34710943343504","-174.5115359785936","-174.5115359785936","-174.5115359785936","-174.4940833425518","-174.4940833425518","-174.4940833425518","-174.4756698169234","-174.4756698169234","-174.4756698169234"
"184","-173.30579069635564","-173.30579069635564","-173.30579069635564","-173.59724271937404","-173.59724271937404","-173.59724271937404","-173.262761514889","-173.262761514889","-173.262761514889","-174.5030327961113","-174.5030327961113","-174.5030327961113","-174.49028285990053","-174.49028285990053","-174.49028285990053","-174.49873717694538","-174.49873717694538","-174.49873717694538"
"185","-173.32817628787313","-173.32817628787313","-173.32817628787313","-173.56722914617583","-173.56722914617583","-173.56722914617583","-173.30893251605062","-173.30893251605062","-173.30893251605062","-174.49013442843295","-174.49013442843295","-174.49013442843295","-174.48364124339787","-174.48364124339787","-174.48364124339787","-174.48365992772648","-174.48365992772648","-174.48365992772648"
"186","-173.41973127871134","-173.41973127871134","-173.41973127871134","-173.5855322373697","-173.5855322373697","-173.5855322373697","-173.35964757048848","-173.35964757048848","-173.35964757048848","-174.5082964187701","-174.5082964187701","-174.5082964187701","-174.50067909068457","-174.50067909068457","-174.50067909068457","-174.4811337505805","-174.4811337505805","-174.4811337505805"
"187","-173.3763714273299","-173.3763714273299","-173.3763714273299","-173.5839406276114","-173.5839406276114","-173.5839406276114","-173.35240261265272","-173.35240261265272","-173.35240261265272","-174.4953654172104","-174.4953654172104","-174.4953654172104","-174.4732203778401","-174.4732203778401","-174.4732203778401","-174.48258571422224","-174.48258571422224","-174.48258571422224"
"188","-173.37506875233237","-173.37506875233237","-173.37506875233237","-173.56984108177107","-173.56984108177107","-173.56984108177107","-173.38555137974706","-173.38555137974706","-173.38555137974706","-174.4879887632427","-174.4879887632427","-174.4879887632427","-174.47172584768396","-174.47172584768396","-174.47172584768396","-174.470134080466","-174.470134080466","-174.470134080466"
"189","-173.40746178080204","-173.40746178080204","-173.40746178080204","-173.6590229680109","-173.6590229680109","-173.6590229680109","-173.41827845483755","-173.41827845483755","-173.41827845483755","-174.5146292835219","-174.5146292835219","-174.5146292835219","-174.47077408026956","-174.47077408026956","-174.47077408026956","-174.4669792668177","-174.4669792668177","-174.4669792668177"
"190","-173.36141187766785","-173.36141187766785","-173.36141187766785","-173.58323067318196","-173.58323067318196","-173.58323067318196","-173.36134025181798","-173.36134025181798","-173.36134025181798","-174.50117272565635","-174.50117272565635","-174.50117272565635","-174.47557150380004","-174.47557150380004","-174.47557150380004","-174.46896997203174","-174.46896997203174","-174.46896997203174"
"191","-173.37136280487107","-173.37136280487107","-173.37136280487107","-173.60426959396162","-173.60426959396162","-173.60426959396162","-173.39508886984572","-173.39508886984572","-173.39508886984572","-174.49114597079245","-174.49114597079245","-174.49114597079245","-174.49976420971154","-174.49976420971154","-174.49976420971154","-174.4684934743698","-174.4684934743698","-174.4684934743698"
"192","-173.38350761744576","-173.38350761744576","-173.38350761744576","-173.61115254241196","-173.61115254241196","-173.61115254241196","-173.39050652874437","-173.39050652874437","-173.39050652874437","-174.50407132530628","-174.50407132530628","-174.50407132530628","-174.50283498617569","-174.50283498617569","-174.50283498617569","-174.458367894552","-174.458367894552","-174.458367894552"
"193","-173.3858098199635","-173.3858098199635","-173.3858098199635","-173.5932941766359","-173.5932941766359","-173.5932941766359","-173.40899319014062","-173.40899319014062","-173.40899319014062","-174.5134526616048","-174.5134526616048","-174.5134526616048","-174.50066568131138","-174.50066568131138","-174.50066568131138","-174.4900636512772","-174.4900636512772","-174.4900636512772"
"194","-173.41757637198134","-173.41757637198134","-173.41757637198134","-173.68928694705255","-173.68928694705255","-173.68928694705255","-173.39600934668144","-173.39600934668144","-173.39600934668144","-174.48246056276668","-174.48246056276668","-174.48246056276668","-174.49195931795572","-174.49195931795572","-174.49195931795572","-174.48554346672543","-174.48554346672543","-174.48554346672543"
"195","-173.40022458893455","-173.40022458893455","-173.40022458893455","-173.55756918293014","-173.55756918293014","-173.55756918293014","-173.39036633286315","-173.39036633286315","-173.39036633286315","-174.51462573111394","-174.51462573111394","-174.51462573111394","-174.4991224623343","-174.4991224623343","-174.4991224623343","-174.47036634035533","-174.47036634035533","-174.47036634035533"
"196","-173.4314461541768","-173.4314461541768","-173.4314461541768","-173.5695719696332","-173.5695719696332","-173.5695719696332","-173.4387845802384","-173.4387845802384","-173.4387845802384","-174.50579588870613","-174.50579588870613","-174.50579588870613","-174.47797960797024","-174.47797960797024","-174.47797960797024","-174.47759208905973","-174.47759208905973","-174.47759208905973"
"197","-173.34803977389785","-173.34803977389785","-173.34803977389785","-173.61888425738533","-173.61888425738533","-173.61888425738533","-173.3529580515862","-173.3529580515862","-173.3529580515862","-174.50258002099156","-174.50258002099156","-174.50258002099156","-174.48615088876997","-174.48615088876997","-174.48615088876997","-174.46358777247826","-174.46358777247826","-174.46358777247826"
"198","-173.35490808120227","-173.35490808120227","-173.35490808120227","-173.63469974667896","-173.63469974667896","-173.63469974667896","-173.3449865624841","-173.3449865624841","-173.3449865624841","-174.51662403451394","-174.51662403451394","-174.51662403451394","-174.49972473221646","-174.49972473221646","-174.49972473221646","-174.50121236577968","-174.50121236577968","-174.50121236577968"
"199","-173.3570975911661","-173.3570975911661","-173.3570975911661","-173.59549605431084","-173.59549605431084","-173.59549605431084","-173.40573062303616","-173.40573062303616","-173.40573062303616","-174.51336307436137","-174.51336307436137","-174.51336307436137","-174.49942355022375","-174.49942355022375","-174.49942355022375","-174.46714775863126","-174.46714775863126","-174.46714775863126"
