"Step","geocnn-4-4-8-8-8-4 - energy","geocnn-4-4-8-8-8-4 - energy__MIN","geocnn-4-4-8-8-8-4 - energy__MAX","geocnn-8-8-8-4-4 - energy","geocnn-8-8-8-4-4 - energy__MIN","geocnn-8-8-8-4-4 - energy__MAX","geocnn-8-8-8 - energy","geocnn-8-8-8 - energy__MIN","geocnn-8-8-8 - energy__MAX","cnn-8_4-4-1 - energy","cnn-8_4-4-1 - energy__MIN","cnn-8_4-4-1 - energy__MAX","cnn-4-4_8-1 - energy","cnn-4-4_8-1 - energy__MIN","cnn-4-4_8-1 - energy__MAX","cnn-4-4_1 - energy","cnn-4-4_1 - energy__MIN","cnn-4-4_1 - energy__MAX","cnn-8-8-8_4-4-1 - energy","cnn-8-8-8_4-4-1 - energy__MIN","cnn-8-8-8_4-4-1 - energy__MAX","cnn-8-8_4-4-1 - energy","cnn-8-8_4-4-1 - energy__MIN","cnn-8-8_4-4-1 - energy__MAX","cnn-4-4_8-8-8-1 - energy","cnn-4-4_8-8-8-1 - energy__MIN","cnn-4-4_8-8-8-1 - energy__MAX","cnn-4-4_8-8-1 - energy","cnn-4-4_8-8-1 - energy__MIN","cnn-4-4_8-8-1 - energy__MAX"
"20","-14.02102953534221","-14.02102953534221","-14.02102953534221","-14.066341813500944","-14.066341813500944","-14.066341813500944","-14.105397286672186","-14.105397286672186","-14.105397286672186","-14.122083478981375","-14.122083478981375","-14.122083478981375","-14.181817919362185","-14.181817919362185","-14.181817919362185","-14.180721603098133","-14.180721603098133","-14.180721603098133","-14.128424366882651","-14.128424366882651","-14.128424366882651","-14.114475979607604","-14.114475979607604","-14.114475979607604","-14.156270599383491","-14.156270599383491","-14.156270599383491","-14.147654261592887","-14.147654261592887","-14.147654261592887"
"21","-14.068359721218311","-14.068359721218311","-14.068359721218311","-14.113208887115917","-14.113208887115917","-14.113208887115917","-14.139037861558274","-14.139037861558274","-14.139037861558274","-14.15815843101999","-14.15815843101999","-14.15815843101999","-14.2045770894374","-14.2045770894374","-14.2045770894374","-14.204829144525512","-14.204829144525512","-14.204829144525512","-14.15775988485732","-14.15775988485732","-14.15775988485732","-14.150805961740373","-14.150805961740373","-14.150805961740373","-14.182367375931008","-14.182367375931008","-14.182367375931008","-14.173902134712012","-14.173902134712012","-14.173902134712012"
"22","-14.097421389107758","-14.097421389107758","-14.097421389107758","-14.124011542106082","-14.124011542106082","-14.124011542106082","-14.159909328248126","-14.159909328248126","-14.159909328248126","-14.1809832433603","-14.1809832433603","-14.1809832433603","-14.215822664815974","-14.215822664815974","-14.215822664815974","-14.216007460587509","-14.216007460587509","-14.216007460587509","-14.182826752971298","-14.182826752971298","-14.182826752971298","-14.174350280582042","-14.174350280582042","-14.174350280582042","-14.19487153180542","-14.19487153180542","-14.19487153180542","-14.197234728058945","-14.197234728058945","-14.197234728058945"
"23","-14.119981293626832","-14.119981293626832","-14.119981293626832","-14.147662256474135","-14.147662256474135","-14.147662256474135","-14.178543106050238","-14.178543106050238","-14.178543106050238","-14.196519823901728","-14.196519823901728","-14.196519823901728","-14.227572578880107","-14.227572578880107","-14.227572578880107","-14.22824096920391","-14.22824096920391","-14.22824096920391","-14.195146264679781","-14.195146264679781","-14.195146264679781","-14.192307820760087","-14.192307820760087","-14.192307820760087","-14.21175930607076","-14.21175930607076","-14.21175930607076","-14.208416411318893","-14.208416411318893","-14.208416411318893"
"24","-14.142886608130137","-14.142886608130137","-14.142886608130137","-14.170405111479699","-14.170405111479699","-14.170405111479699","-14.192643040037485","-14.192643040037485","-14.192643040037485","-14.21039511103382","-14.21039511103382","-14.21039511103382","-14.236566660651537","-14.236566660651537","-14.236566660651537","-14.237135825934335","-14.237135825934335","-14.237135825934335","-14.207815923471777","-14.207815923471777","-14.207815923471777","-14.204708049620097","-14.204708049620097","-14.204708049620097","-14.223247917166214","-14.223247917166214","-14.223247917166214","-14.232897954772842","-14.232897954772842","-14.232897954772842"
"25","-14.171940381693904","-14.171940381693904","-14.171940381693904","-14.196004465476857","-14.196004465476857","-14.196004465476857","-14.21486955399036","-14.21486955399036","-14.21486955399036","-14.227168256172437","-14.227168256172437","-14.227168256172437","-14.243287012340453","-14.243287012340453","-14.243287012340453","-14.24365847124836","-14.24365847124836","-14.24365847124836","-14.226258161789278","-14.226258161789278","-14.226258161789278","-14.224329868654575","-14.224329868654575","-14.224329868654575","-14.236549451832941","-14.236549451832941","-14.236549451832941","-14.23715056143422","-14.23715056143422","-14.23715056143422"
"26","-14.181961367363531","-14.181961367363531","-14.181961367363531","-14.192043312599612","-14.192043312599612","-14.192043312599612","-14.216407905438071","-14.216407905438071","-14.216407905438071","-14.234290665117351","-14.234290665117351","-14.234290665117351","-14.247598925573435","-14.247598925573435","-14.247598925573435","-14.247343304692084","-14.247343304692084","-14.247343304692084","-14.232400511686231","-14.232400511686231","-14.232400511686231","-14.231695858350006","-14.231695858350006","-14.231695858350006","-14.243026331569938","-14.243026331569938","-14.243026331569938","-14.243199062128419","-14.243199062128419","-14.243199062128419"
"27","-14.189160247901356","-14.189160247901356","-14.189160247901356","-14.209958225523375","-14.209958225523375","-14.209958225523375","-14.226813236678023","-14.226813236678023","-14.226813236678023","-14.239612788664132","-14.239612788664132","-14.239612788664132","-14.254360415180049","-14.254360415180049","-14.254360415180049","-14.254583329515885","-14.254583329515885","-14.254583329515885","-14.24216480586741","-14.24216480586741","-14.24216480586741","-14.237477650612895","-14.237477650612895","-14.237477650612895","-14.247749159510924","-14.247749159510924","-14.247749159510924","-14.249814059306702","-14.249814059306702","-14.249814059306702"
"28","-14.189829311295654","-14.189829311295654","-14.189829311295654","-14.21227471050792","-14.21227471050792","-14.21227471050792","-14.230096341437637","-14.230096341437637","-14.230096341437637","-14.243876745714523","-14.243876745714523","-14.243876745714523","-14.257855838613121","-14.257855838613121","-14.257855838613121","-14.257279842370513","-14.257279842370513","-14.257279842370513","-14.24629169202517","-14.24629169202517","-14.24629169202517","-14.245622929793303","-14.245622929793303","-14.245622929793303","-14.250361946839195","-14.250361946839195","-14.250361946839195","-14.253362309352042","-14.253362309352042","-14.253362309352042"
"29","-14.207322568132483","-14.207322568132483","-14.207322568132483","-14.221567058720382","-14.221567058720382","-14.221567058720382","-14.236833412102087","-14.236833412102087","-14.236833412102087","-14.249821269594026","-14.249821269594026","-14.249821269594026","-14.260636681845375","-14.260636681845375","-14.260636681845375","-14.26080777694753","-14.26080777694753","-14.26080777694753","-14.250378388653203","-14.250378388653203","-14.250378388653203","-14.248340491996462","-14.248340491996462","-14.248340491996462","-14.253699534418164","-14.253699534418164","-14.253699534418164","-14.258777458457246","-14.258777458457246","-14.258777458457246"
